халтархай<ADJ>	халтархай
туруор<VERB><Number=Sing><Person=3><Tense=Pres>	туруорар

кэл<VERB><Number=Sing><Person=3><Tense=Pres>	кэлэр

тур<VERB><Number=Sing><Person=3><Tense=Pres>	турар

үөскээ<VERB><Number=Sing><Person=3><Tense=Pres>	үөскүүр

оҕус<VERB><Number=Sing><Person=3><Tense=Pres>	охсор

тоҥ<VERB><Number=Sing><Person=3><Tense=Pres>	тоҥор

түс<VERB><Number=Sing><Person=3><Tense=Pres>	түһэр

бар<VERB><Number=Sing><Person=3><Tense=Pres>	барар

сиэ<VERB><Number=Sing><Person=3><Tense=Pres>	сиир

үөрэт<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэтэр

олор<VERB><Number=Sing><Person=3><Tense=Pres>	олорор

киир<VERB><Number=Sing><Person=3><Tense=Pres>	киирэр

сырыт<VERB><Number=Sing><Person=3><Tense=Pres>	сылдьар

оргуй<VERB><Number=Sing><Person=3><Tense=Pres>	оргуйар

көр<VERB><Number=Sing><Person=3><Tense=Pres>	көрөр

үлэлээ<VERB><Number=Sing><Person=3><Tense=Pres>	үлэлиир

сыт<VERB><Number=Sing><Person=3><Tense=Pres>	сытар

аас<VERB><Number=Sing><Person=3><Tense=Pres>	ааһар

үөрэн<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэнэр

утуй<VERB><Number=Sing><Person=3><Tense=Pres>	утуйар

аһыы<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

ыарый<VERB><Number=Sing><Person=3><Tense=Pres>	ыалдьар

кэпсээ<VERB><Number=Sing><Person=3><Tense=Pres>	кэпсиир

суруй<VERB><Number=Sing><Person=3><Tense=Pres>	суруйар

таҕыс<VERB><Number=Sing><Person=3><Tense=Pres>	тахсар

уст<VERB><Number=Sing><Person=3><Tense=Pres>	устар

иһит<VERB><Number=Sing><Person=3><Tense=Pres>	истэр

таптаа<VERB><Number=Sing><Person=3><Tense=Pres>	таптыыр

буол<VERB><Number=Sing><Person=3><Tense=Pres>	буолар

үр<VERB><Number=Sing><Person=3><Tense=Pres>	үрэр

ыҥыр<VERB><Number=Sing><Person=3><Tense=Pres>	ыҥырар

кэт<VERB><Number=Sing><Person=3><Tense=Pres>	кэтэр

ас<VERB><Number=Sing><Person=3><Tense=Pres>	аһар

өлөр<VERB><Number=Sing><Person=3><Tense=Pres>	өлөрөр

сууй<VERB><Number=Sing><Person=3><Tense=Pres>	суунар

ыа<VERB><Number=Sing><Person=3><Tense=Pres>	ыыр

аһаа<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

үүн<VERB><Number=Sing><Person=3><Tense=Pres>	үүнэр

күл<VERB><Tense=Pres><VerbForm=Trans>	күлэ

үүн<VERB><Tense=Pres><VerbForm=Trans>	үүнэ

