тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэллэхтэрбин
тэллэх<NOUN><Number=Plur><Case=Nom>	тэллэхтэр
тэллэх<NOUN><Number=Plur><Case=Acc>	тэллэхтэри
тэллэх<NOUN><Number=Plur><Case=Cmp>	тэллэхтэрдээҕэр
тэллэх<NOUN><Number=Plur><Case=Dat>	тэллэхтэргэ
тэллэх<NOUN><Number=Plur><Case=Par>	тэллэхтэрдэ
тэллэх<NOUN><Number=Plur><Case=Ins>	тэллэхтэринэн
тэллэй<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэллэйгит
тэллэй<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэллэйбит
тэллэй<NOUN><Number=Sing><Case=Com>	тэллэйдиин
тэллэй<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэллэйий
тэллэй<NOUN><Number=Sing><Case=Abl>	тэллэйтан
тэллэй<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тэллэйыахха
тэллэй<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэллэйлэрин
тэллэй<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэллэйлэрэ
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэллэйэ
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэллэйтинэн
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэллэйтигэр
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэллэйин
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэллэйиҥ
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэллэйим
тэллэй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэллэйбин
тэллэй<NOUN><Number=Sing><Case=Nom>	тэллэй
тэллэй<NOUN><Number=Sing><Case=Acc>	тэллэйи
тэллэй<NOUN><Number=Sing><Case=Cmp>	тэллэйдээҕэр
тэллэй<NOUN><Number=Sing><Case=Dat>	тэллэйгэ
тэллэй<NOUN><Number=Sing><Case=Par>	тэллэйдэ
тэллэй<NOUN><Number=Sing><Case=Ins>	тэллэйинэн
тэллэй<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэллэйдэргит
тэллэй<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэллэйдэрбит
тэллэй<NOUN><Number=Plur><Case=Com>	тэллэйдэрдиин
тэллэй<NOUN><Number=Plur><Int=Yes><Case=Nom>	тэллэйдэрий
тэллэй<NOUN><Number=Plur><Case=Abl>	тэллэйдэртан
тэллэй<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тэллэйдэрыахха
тэллэй<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэллэйдэрлэрин
тэллэй<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэллэйдэрлэрэ
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэллэйдэрэ
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэллэйдэртинэн
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэллэйдэртигэр
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэллэйдэрин
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэллэйдэриҥ
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэллэйдэрим
тэллэй<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэллэйдэрбин
тэллэй<NOUN><Number=Plur><Case=Nom>	тэллэйдэр
тэллэй<NOUN><Number=Plur><Case=Acc>	тэллэйдэри
тэллэй<NOUN><Number=Plur><Case=Cmp>	тэллэйдэрдээҕэр
тэллэй<NOUN><Number=Plur><Case=Dat>	тэллэйдэргэ
тэллэй<NOUN><Number=Plur><Case=Par>	тэллэйдэрдэ
тэллэй<NOUN><Number=Plur><Case=Ins>	тэллэйдэринэн
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэллэҕэ
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэллэҕиҥ
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэллэҕим
тэллэх<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тэллэҕыахха
тэҥ<ADJ>	тэҥ
тэҥ<ADJ><Poss=Yes>	тэҥ{T}ээх
тэҥҥэ<ADV>	тэҥҥэ
тэҥҥэ<ADV><ADVLZ=Yes>	тэҥҥэ{T}ик
тэрил<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэрилгит
тэрил<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэрилбит
тэрил<NOUN><Number=Sing><Case=Com>	тэриллиин
тэрил<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэрилий
тэрил<NOUN><Number=Sing><Case=Abl>	тэрилтан
тэрил<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тэрилыахха
тэрил<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэриллэрин
тэрил<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэриллэрэ
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэрилэ
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэрилтинэн
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэрилтигэр
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэрилин
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэрилиҥ
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэрилим
тэрил<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэрилбин
тэрил<NOUN><Number=Sing><Case=Nom>	тэрил
тэрил<NOUN><Number=Sing><Case=Acc>	тэрили
тэрил<NOUN><Number=Sing><Case=Dat>	тэрилгэ
тэрил<NOUN><Number=Sing><Case=Ins>	тэрилинэн
тэрил<NOUN><Number=Sing><Case=Cmp>	тэриллээҕэр
тэрил<NOUN><Number=Sing><Case=Par>	тэриллэ
тэрил<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэриллэргит
тэрил<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэриллэрбит
тэрил<NOUN><Number=Plur><Case=Com>	тэриллэрдиин
тэрил<NOUN><Number=Plur><Int=Yes><Case=Nom>	тэриллэрий
тэрил<NOUN><Number=Plur><Case=Abl>	тэриллэртан
тэрил<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тэриллэрыахха
тэрил<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэриллэрлэрин
тэрил<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэриллэрлэрэ
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэриллэрэ
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэриллэртинэн
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэриллэртигэр
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэриллэрин
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэриллэриҥ
тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэриллэрим
